"","time","posX","posY","orientation","mac","signal","rawTime"
"1",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:8a",-43,1139692477303
"2",2006-02-11 15:14:37,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692477303
"3",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692477303
"4",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:81",-58,1139692477303
"5",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692477303
"6",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692477303
"9",2006-02-11 15:14:37,0,0.05,135,"00:0f:a3:39:dd:cd",-64,1139692477303
"12",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:8a",-43,1139692477555
"13",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:8a",-43,1139692477555
"14",2006-02-11 15:14:37,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692477555
"15",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692477555
"16",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692477555
"18",2006-02-11 15:14:37,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692477555
"21",2006-02-11 15:14:37,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692477807
"22",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:90",-49,1139692477807
"23",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692477807
"24",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:8a",-44,1139692477807
"25",2006-02-11 15:14:37,0,0.05,135,"00:14:bf:b1:97:81",-68,1139692477807
"27",2006-02-11 15:14:37,0,0.05,135,"00:0f:a3:39:dd:cd",-66,1139692477807
"30",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692478059
"31",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692478059
"32",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692478059
"33",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692478059
"34",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:dd:cd",-66,1139692478059
"35",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:3b:c7:c6",-68,1139692478059
"40",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8a",-42,1139692478311
"41",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692478311
"42",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:81",-60,1139692478311
"43",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:3b:c7:c6",-59,1139692478311
"44",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692478311
"45",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:dd:cd",-61,1139692478311
"48",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692478563
"49",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692478563
"50",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8a",-43,1139692478563
"51",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692478563
"52",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692478563
"53",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692478563
"55",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:81",-57,1139692478563
"59",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8a",-44,1139692478819
"60",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:e1:c0",-50,1139692478819
"61",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692478819
